,title,max_players,genres,publisher,sales_metric,price,review_raiting,console,age_raiting,year
977,Madagascar: Escape 2 Africa,1,"Action,Adventure",Activision,0.32,17.95,55,Nintendo DS,T,2008
978,GRID,1,"Racing / Driving,Simulation,Sports",,0.31,24.95,87,PlayStation 3,T,2008
979,NHL 09,1,Sports,EA,0.31,19.95,88,PlayStation 3,M,2008
980,Banjo-Kazooie: Nuts & Bolts,1,"Action,Adventure,Racing / Driving,Sports",Microsoft,0.31,17.95,79,X360,E,2008
981,Hot Shots Golf: Out of Bounds,4,Sports,Sony,0.3,34.95,81,PlayStation 3,T,2008
982,Rune Factory 2: A Fantasy Harvest Moon,1,"Action,Role-Playing (RPG),Simulation",,0.3,17.95,79,Nintendo DS,T,2008
983,SimCity Creator,1,Simulation,EA,0.3,17.95,69,Nintendo DS,M,2008
984,Patapon,1,"Action,Strategy",Sony,0.3,17.95,86,Sony PSP,T,2008
985,Shaun White Snowboarding,1,Sports,Ubisoft,0.3,15.95,63,PlayStation 3,T,2008
986,Iron Man,1,Action,Sega,0.3,17.95,44,Nintendo Wii,T,2008
987,Sega Superstars Tennis,1,Sports,Sega,0.29,14.95,65,Nintendo DS,T,2008
988,Lost Planet: Extreme Condition,1,Action,Capcom,0.29,16.95,67,PlayStation 3,T,2008
989,Mirror's Edge,1,Action,EA,0.29,14.95,79,PlayStation 3,T,2008
990,The Incredible Hulk,1,Action,Sega,0.29,16.95,46,Nintendo Wii,T,2008
991,Condemned 2: Bloodshot,1,"Action,Adventure",Sega,0.29,14.95,80,X360,T,2008
992,Sega Superstars Tennis,4,Sports,Sega,0.28,12.95,71,Nintendo Wii,E,2008
993,Speed Racer: The Videogame,1,Racing / Driving,,0.28,17.95,75,Nintendo DS,M,2008
994,Viva Pi$?ata: Pocket Paradise,1,"Simulation,Strategy",THQ,0.28,17.95,82,Nintendo DS,T,2008
995,Tom Clancy's EndWar,1,Strategy,Ubisoft,0.28,17.95,76,PlayStation 3,M,2008
996,Iron Man,1,Action,Sega,0.28,17.95,45,X360,M,2008
997,Need for Speed: Undercover,4,Racing / Driving,EA,0.27,27.95,54,Nintendo Wii,E,2008
998,Wall-E,4,Action,THQ,0.27,14.95,50,X360,E,2008
999,Spectrobes: Beyond the Portals,1,"Action,Role-Playing (RPG)",Disney,0.27,11.95,70,Nintendo DS,M,2008
1000,MX vs. ATV Untamed,1,Educational,Ubisoft,0.27,16.95,59,Sony PSP,T,2008
1001,Mercenaries 2: World in Flames,1,Action,EA,0.27,15.95,72,PlayStation 3,E,2008
1002,Infinite Undiscovery,1,"Action,Role-Playing (RPG)",SquareEnix,0.27,17.95,68,X360,T,2008
1003,TNA iMPACT!,4,Sports,Midway,0.26,14.95,62,X360,M,2008
1004,Enemy Territory: Quake Wars,1,Action,Activision,0.26,14.95,69,X360,T,2008
1005,Fire Emblem: Shadow Dragon,1,"Role-Playing (RPG),Strategy",Nintendo,0.25,19.95,81,Nintendo DS,M,2008
1006,Neopets Puzzle Adventure,1,"Adventure,Role-Playing (RPG),Strategy",Capcom,0.25,17.95,70,Nintendo DS,T,2008
1007,Tales of Vesperia,1,"Adventure,Role-Playing (RPG)",Namco,0.25,27.95,79,X360,M,2008
1008,SingStar ABBA,8,Action,Sony,0.24,17.95,70,PlayStation 3,T,2008
1009,Dragon Ball Z: Burst Limit,2,Action,"Atari,Namco",0.24,17.95,72,X360,E,2008
1010,Apollo Justice: Ace Attorney,1,"Adventure,Simulation",Capcom,0.24,24.95,78,Nintendo DS,T,2008
1011,Castlevania: Order of Ecclesia,1,"Action,Adventure,Role-Playing (RPG)",Konami,0.24,24.95,85,Nintendo DS,T,2008
